threshold,precision,recall,f1,accuracy
0.0,0.65,1.0,0.79,0.65
0.05,0.65,1.0,0.79,0.65
0.1,0.65,1.0,0.79,0.65
0.15,0.65,1.0,0.79,0.65
0.2,0.65,1.0,0.79,0.65
0.25,0.65,1.0,0.79,0.65
0.3,0.65,1.0,0.79,0.65
0.35,0.68,0.99,0.81,0.7
0.4,0.69,0.98,0.81,0.7
0.45,0.72,0.96,0.82,0.74
0.5,0.75,0.88,0.81,0.74
0.55,0.77,0.79,0.78,0.71
0.6,0.8,0.7,0.75,0.69
0.65,0.82,0.55,0.66,0.63
0.7,0.84,0.39,0.53,0.56
0.75,0.87,0.28,0.42,0.5
0.8,0.95,0.16,0.27,0.45
0.85,1.0,0.04,0.08,0.38
0.9,0.0,0.0,0.0,0.35
0.95,0.0,0.0,0.0,0.35
1.0,0.0,0.0,0.0,0.35
