threshold,precision,recall,f1,accuracy
0.0,0.65,1.0,0.79,0.65
0.05,0.65,1.0,0.79,0.65
0.1,0.65,1.0,0.79,0.65
0.15,0.65,1.0,0.79,0.65
0.2,0.65,1.0,0.79,0.65
0.25,0.66,1.0,0.8,0.67
0.3,0.69,0.99,0.81,0.7
0.35,0.71,0.99,0.83,0.74
0.4,0.76,0.98,0.86,0.78
0.45,0.77,0.93,0.84,0.77
0.5,0.77,0.88,0.82,0.75
0.55,0.76,0.78,0.77,0.7
0.6,0.77,0.72,0.74,0.68
0.65,0.81,0.63,0.71,0.66
0.7,0.84,0.57,0.68,0.65
0.75,0.9,0.51,0.65,0.64
0.8,0.91,0.44,0.6,0.61
0.85,0.9,0.3,0.45,0.52
0.9,0.87,0.22,0.35,0.47
0.95,0.94,0.12,0.22,0.43
1.0,0.0,0.0,0.0,0.35
